SEARCH_NAME,SHORT_NAME,LEGAL_ID
ABS SRL,ABS S.R.L.,1002600052123
ACCENT ELECTRONIC,ACCENT ELECTRONIC S.A.,1003600023124
ACTIVIMOBIL,ACTIV IMOBIL S.R.L.,1010600035956
AGRO NOVA PRIM,AGRO-NOVA PRIM S.R.L.,1017600019696
AGROSTOC,AGROSTOC C.I.,1002600024825
ANVAR COM,ANVAR-COM S.R.L.,1003602000572
APART IMOBIL SRL,APART IMOBIL S.R.L.,1019600026106
AUTO RICAMBI,AUTO-RICAMBI S.R.L.,1014600027061
AUTOMALL,AUTOMALL S.R.L.,1008611002014
AVANTE SRL,AVANTE S.R.L.,1002600008902
BAUTEX COMPOSITES,BAUTEX COMPOSITES S.R.L.,1021600049366
BIAS TRANS COMERT,BIAS-TRANS COMERT S.R.L.,1012600027045
BIO ALIANTA,BIO-ALIANTA S.R.L.,1008607003573
BIRIVOFARM,BIRIVOFARM S.R.L.,1002600040933
BPM TRADE,BPM-TRADE S.R.L.,1013606000319
CALARASI DIVIN,CALARASI DIVIN S.R.L.,1003609001637
CALEA FERATA DIN MOLDOVA,CALEA FERATA DIN MOLDOVA IS,1002600001257
CEREALE DE AUR,CEREALE DE AUR S.R.L.,1014600018366
CIMISLIA SA,CIMISLIA S.A.,1002605000521
CLASICVINAGRO,CLASICVINAGRO S.R.L.,1013606000180
COVOARE UNGHENI,COVOARE-UNGHENI S.A.,1002609002062
CRAFTI BUSINESS,CRAFTI BUSINESS S.R.L.,1004600069507
CRICOVA SA,CRICOVA S.A.,1003600086062
DAAC HERMES,DAAC HERMES S.A.,1002600009035
DAAC AUTO,DAAC-AUTO S.R.L.,1006600006098
DI and TRADE ENGINEERING,DI and TRADE ENGINEERING S.R.L.,1009600035143
DIAZCHIM,DIAZCHIM S.R.L.,1002600008094
DITA ESTFARM,DITA ESTFARM S.R.L.,1002600046359
DORIMAX,DORIMAX S.R.L.,1003600074399
ELAT-RENTSERVICE,ELAT-RENTSERVICE S.R.L.,1003600017279
ELITAGROTEHNOLOGIE,ELITAGROTEHNOLOGIE S.R.L.,1011604001385
ELITEH TRADE,ELITEH TRADE S.R.L.,1013600028810
EUROPLANT,EUROPLANT S.R.L.,1006600000650
EUROPLAS LUX,EUROPLAS LUX S.R.L.,1017600018297
EUROPLAST CHISINAU,EUROPLAST-CHISINAU S.R.L.,1004601000929
EXIMOTOR,EXIMOTOR S.A.,1002600034712
ASCONI,F.C.P. ASCONI S.R.L.,1002601003166
ROGOB,F.P.C. ROGOB S.R.L.,1003600043207
FABI and LINA,FABI and LINA S.R.L.,1010600028794
FARMAPRIM,FARMAPRIM S.R.L.,1002600014352
FENIX AGRO,FENIX AGRO S.R.L.,1014600024967
FERTILITATEA CHISINAU,FERTILITATEA-CHISINAU S.A.,1003600043540
FLORMIN COM,FLORMIN-COM S.R.L.,1013600019160
CONFORT SRL,FPC CONFORT SRL,1003600056195
FRESH TIME,FRESH TIME S.R.L.,1015606001974
FUNDATIA PROD,FUNDATIA-PROD S.R.L.,1003600107558
GBG MLD,GBG-MLD S.R.L.,1003600117582
GBS SRL,GBS S.R.L.,1003600020846
GEMENI SA,GEMENI S.A.,1002600029473
GHS COM,GHS-COM S.R.L.,1002600034424
GLIA CAP,GLIA CAP,1003603152249
GUPA GRUP ,GUPA GRUP S.R.L.,1003600019457
BEMOL RETAIL,I.C.S. BEMOL RETAIL S.R.L.,1004601004787
DANUBE LOGISTICS,I.C.S. DANUBE LOGISTICS S.R.L.,1004600073997
DK INTERTRADE,I.C.S. DK-INTERTRADE S.R.L.,1002600035432
FUNNY PIG,I.C.S. FUNNY PIG S.R.L.,1008600056972
LE BRIDGE CORPORATION LIMITED,I.C.S. LE BRIDGE CORPORATION LIMITE?D S.R.L.,1002600017397
PLASTIC TECHNOLOGY,I.C.S. PLASTIC TECHNOLOGY S.R.L.,1011602004739
STAG TEXTILE INDUSTRY,I.C.S. STAG TEXTILE INDUSTRY S.A.,1003600045784
TERRA IMPEX,I.C.S. TERRA IMPEX S.R.L.,1011611000539
ELIT TEHNICA,I.M. ELIT-TEHNICA S.R.L.,1003600132512
EURO YARNS,I.M. EURO YARNS S.R.L.,1011600029879
ROMSTAL TRADE,I.M. ROMSTAL TRADE S.R.L.,1003600033697
SUPRATEN PLUS,I.M. SUPRATEN PLUS S.R.L.,1005600042189
VINARIA BOSTAVAN,I.M. VINARIA BOSTAVAN S.R.L.,1002600043853
VINARIA PURCARI,I.M. VINARIA PURCARI S.R.L.,1003600072948
ZERNOFF,I.M. ZERNOFF S.R.L.,1003600014223
AGENTIA PENTRU DEZVOLTAREA SI MODERNIZAREA AGRICULTURII,I.P. AGENTIA PENTRU DEZVOLTAREA SI ?MODERNIZAREA AGRICULTURII,1009601000337
AGENTIA SERVICII PUBLICE,I.P. AGENTIA SERVICII PUBLICE,1002600024700
CORSAG,I.P.S. CORSAG S.R.L.,1004600029396
SA ICAM,ICAM S.A.,1003600089719
PREMIER ENERGY DISTRIBUTION,ICS PREMIER ENERGY DISTRIBUTION S.A,1003600015231
INTERMED SRL,INTERMED S.R.L.,1002600034804
INTREPRINDEREA DE DESERVIRE TEHNICA DIN BARDAR,INTREPRINDEREA DE DESERVIRE TEHNICA? DIN BARDAR S.R.L.,1003601006681
IUVAS,IUVAS SRL,1003600045603
KVM CONS,KVM CONS S.R.L.,1010600042392
LAIOLA,LAIOLA S.R.L.,1003600039415
LILCORA,LILCORA S.R.L.,1002600041790
LIMBURG SRL,LIMBURG S.R.L.,1010600046035
